epoch,step,time_forward,train_loss,valid_loss
164,164,1.776547908782959,10099.068359375,
165,165,,,10104.1708984375
165,165,1.8305747509002686,10098.9697265625,
166,166,,,10095.638671875
166,166,1.7334530353546143,10095.689453125,
167,167,,,10095.7265625
167,167,1.6970391273498535,10095.263671875,
168,168,,,10099.423828125
168,168,1.4297327995300293,10084.5537109375,
169,169,,,10096.7705078125
169,169,1.3975107669830322,10080.978515625,
170,170,,,10088.814453125
170,170,1.5472419261932373,10082.5029296875,
171,171,,,10089.63671875
171,171,1.441627860069275,10078.0556640625,
172,172,,,10083.94921875
172,172,1.5808098316192627,10072.83984375,
173,173,,,10074.2607421875
173,173,1.5226740837097168,10068.265625,
174,174,,,10073.744140625
174,174,1.679010033607483,10068.5126953125,
175,175,,,10074.447265625
175,175,1.458612084388733,10062.6015625,
176,176,,,10075.41015625
176,176,1.477992057800293,10064.1484375,
177,177,,,10065.82421875
177,177,1.438699722290039,10053.595703125,
178,178,,,10069.4462890625
178,178,1.503093957901001,10053.0341796875,
179,179,,,10058.5849609375
179,179,1.486809253692627,10048.099609375,
180,180,,,10063.25
180,180,1.375205636024475,10043.9912109375,
181,181,,,10055.18359375
181,181,1.592513084411621,10041.123046875,
182,182,,,10058.591796875
182,182,1.6610472202301025,10036.5712890625,
183,183,,,10054.5986328125
183,183,1.540189266204834,10033.57421875,
184,184,,,10046.3193359375
184,184,1.8993017673492432,10034.0,
185,185,,,10047.9013671875
185,185,1.650886058807373,10023.5595703125,
186,186,,,10045.1240234375
186,186,1.7370498180389404,10025.865234375,
187,187,,,10041.33203125
187,187,1.5095198154449463,10023.890625,
188,188,,,10034.8583984375
188,188,1.6174288988113403,10025.5556640625,
189,189,,,10033.724609375
189,189,1.8828840255737305,10015.7060546875,
190,190,,,10037.1142578125
190,190,1.5838360786437988,10012.16015625,
191,191,,,10030.02734375
191,191,1.5506610870361328,10012.263671875,
192,192,,,10029.412109375
192,192,1.453521728515625,10004.4560546875,
193,193,,,10020.083984375
193,193,1.5050491094589233,10004.40234375,
194,194,,,10024.4521484375
194,194,1.6990489959716797,9998.2734375,
195,195,,,10015.24609375
195,195,1.828676700592041,9997.619140625,
196,196,,,10017.15625
196,196,1.497426986694336,9994.5615234375,
197,197,,,10013.55078125
197,197,2.2416670322418213,9992.1630859375,
198,198,,,10009.23046875
198,198,1.638145089149475,9989.455078125,
199,199,,,10010.2568359375
199,199,1.700361967086792,9986.900390625,
200,200,,,10005.3876953125
200,200,1.7257171869277954,9982.7109375,
201,201,,,9997.705078125
201,201,1.555506944656372,9981.2392578125,
202,202,,,10000.4716796875
202,202,2.105192184448242,9976.7080078125,
203,203,,,9995.390625
203,203,1.6078438758850098,9974.6025390625,
204,204,,,9996.2197265625
204,204,1.681113839149475,9969.7099609375,
205,205,,,9993.43359375
205,205,5.954413414001465,9969.5791015625,
206,206,,,9991.853515625
206,206,2.2869632244110107,9970.60546875,
207,207,,,9996.41015625
207,207,1.319498062133789,9963.111328125,
208,208,,,9991.671875
208,208,1.9005142450332642,9963.7724609375,
209,209,,,9983.2705078125
209,209,1.4471197128295898,9956.732421875,
210,210,,,9978.5380859375
210,210,1.9757729768753052,9958.0986328125,
211,211,,,9982.330078125
211,211,1.842344045639038,9952.8623046875,
212,212,,,9980.4228515625
212,212,1.795884132385254,9950.5009765625,
213,213,,,9979.712890625
213,213,1.4594388008117676,9949.0029296875,
214,214,,,9982.041015625
214,214,1.8812752962112427,9947.3427734375,
215,215,,,9973.3779296875
215,215,1.4013949632644653,9945.2197265625,
216,216,,,9972.09375
216,216,1.5770158767700195,9940.240234375,
217,217,,,9967.103515625
217,217,1.3854570388793945,9938.3837890625,
218,218,,,9973.28515625
218,218,1.5008411407470703,9933.6962890625,
219,219,,,9968.029296875
219,219,1.5560638904571533,9934.5126953125,
220,220,,,9966.72265625
220,220,1.4441380500793457,9929.287109375,
221,221,,,9961.4931640625
221,221,1.4282348155975342,9929.5771484375,
222,222,,,9966.919921875
222,222,1.5841131210327148,9930.2197265625,
223,223,,,9960.6904296875
223,223,1.5388492345809937,9925.392578125,
224,224,,,9960.5390625
224,224,1.5408397912979126,9921.71875,
225,225,,,9954.9951171875
225,225,1.4990981817245483,9921.498046875,
226,226,,,9951.376953125
226,226,1.4560060501098633,9918.1533203125,
227,227,,,9948.1416015625
227,227,1.7004642486572266,9917.482421875,
228,228,,,9951.8857421875
228,228,1.3650941848754883,9912.94140625,
229,229,,,9949.578125
229,229,1.371243953704834,9914.537109375,
230,230,,,9944.48046875
230,230,1.592561960220337,9907.6220703125,
231,231,,,9947.73828125
231,231,1.3565630912780762,9908.953125,
232,232,,,9947.2099609375
232,232,1.7408339977264404,9905.7607421875,
233,233,,,9937.5029296875
233,233,1.5318490266799927,9903.87890625,
234,234,,,9931.3603515625
