time_ms,psth_zscore,unit_id,channel,fov,condition,stim_name,stimulation_id
650.0,0.36535221209013435,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
660.0,-0.20515692194974292,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
670.0,-0.11874359429154346,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
680.0,-0.3679329136652506,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
690.0,-0.5742388448230054,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
700.0,-0.265678460685211,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
710.0,0.513635341863226,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
720.0,1.1607091828224525,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
730.0,0.6495921240955804,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
740.0,0.04017033450735766,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
750.0,-0.44017751013468187,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
760.0,0.21167330796542566,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
770.0,-0.016700977391348015,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
780.0,0.15153310694937555,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
790.0,-0.17459603188876033,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
800.0,0.911210618955411,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
810.0,0.9956924951005823,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
820.0,0.9027552401780928,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
830.0,0.27736993188496606,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
840.0,-0.2617374133274797,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
850.0,-0.6119112107389353,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
860.0,-0.7886492722745947,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
870.0,-0.8588369495814004,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
880.0,-0.8807780522680015,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
890.0,-0.422424892699674,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
900.0,-0.4779394087825267,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
910.0,-0.14227591926858857,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
920.0,0.1363011807127209,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
930.0,-0.13400505036659394,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
940.0,-0.4351348172281853,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
950.0,-0.2050924548890524,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
960.0,0.06988596092853118,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
970.0,-0.17108901487450034,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
